t,value
0,0.0000000000
1,0.0547817048
2,0.0432394256
3,-0.1102524021
4,-0.1709683563
5,-0.3134715251
6,-0.3293135409
7,-0.2151870340
8,-0.0768422345
9,-0.1401119504
10,-0.1572143299
11,-0.0552756975
12,0.0876181959
13,0.1084314019
14,0.0643837496
15,-0.0227400089
16,0.1211451349
17,-0.0286135884
18,-0.0232216284
19,-0.0251790878
20,-0.1408829075
21,-0.1287333343
22,-0.2869082460
23,-0.3843419887
24,-0.2297130101
25,-0.0361916895
26,0.0334445955
27,0.0290312897
28,-0.1519493474
29,-0.2315807821
30,-0.3599466049
31,-0.4459620824
32,-0.5014741373
33,-0.4910692974
34,-0.4535153641
35,-0.3198377257
36,-0.1278861980
37,0.0237040599
38,0.1053573395
39,0.0916306119
40,-0.1165357869
41,-0.0302528749
42,-0.0843328078
43,-0.2642884638
44,-0.0514526630
45,0.0408777336
46,-0.0159153508
47,0.0599889459
48,0.0370024915
49,-0.1125266132
50,-0.1591239291
51,-0.2282935395
52,-0.3597237936
53,-0.2614561700
54,-0.0198286767
55,0.1768907559
56,0.2257166529
57,0.1518947767
58,0.0206192737
59,0.0728559978
60,0.0028769189
61,0.0531438675
62,0.1210951972
63,0.2067217050
64,0.0386733069
65,-0.0061468830
66,-0.1416584533
67,-0.1643037000
68,-0.2357216926
69,-0.0376564927
70,-0.1467472848
71,-0.3163964327
72,-0.2749238726
73,-0.2258340300
74,-0.3054265989
75,-0.3621873832
76,-0.3639013073
77,-0.2766928109
78,-0.0760190987
79,-0.1948149470
80,-0.1846683262
81,-0.2685732391
82,-0.1721057913
83,-0.2577836027
84,-0.3108162231
85,-0.1030105080
86,-0.2230798137
87,-0.0665703135
88,-0.0414919268
89,-0.0426012515
90,-0.2168673481
91,-0.1432654165
92,-0.0455063429
93,-0.1233586054
94,0.0753311765
95,0.0054100154
96,-0.1874430280
97,-0.1354936127
98,0.0563358701
99,0.2401089354
100,0.2066708093
101,0.1699829349
102,0.1673716166
103,0.3267439130
104,0.3274602060
105,0.3221358351
106,0.4289110005
107,0.5167206338
108,0.4137628292
109,0.3889676813
110,0.1729643443
111,0.1455411975
112,0.2513789669
113,0.2501146240
114,0.0151665323
115,0.1660390600
116,-0.0032409727
117,-0.1340121284
118,-0.2762735851
119,-0.2618252561
120,-0.1877768596
121,-0.2631871714
122,-0.2630485232
123,-0.3417429589
124,-0.1937973115
125,-0.1696151839
126,-0.2020612203
127,-0.0152497473
128,-0.1904466160
129,-0.0085560992
130,-0.1929607910
131,-0.2401381142
132,-0.1614954471
133,-0.2993487406
134,-0.1718838978
135,-0.0367051333
136,-0.1384983953
137,-0.2132628203
138,-0.0504019801
139,-0.0465642623
