t,value
0,1.0000000000
1,1.0500000000
2,1.1000000000
3,1.1500000000
4,1.2000000000
5,1.2500000000
6,1.3000000000
7,1.3500000000
8,1.4000000000
9,1.4500000000
10,1.5000000000
11,1.5500000000
12,1.6000000000
13,1.6500000000
14,1.7000000000
15,1.7500000000
16,1.8000000000
17,1.8500000000
18,1.9000000000
19,1.9500000000
20,2.0000000000
21,2.0500000000
22,2.1000000000
23,2.1500000000
24,2.2000000000
25,2.2500000000
26,2.3000000000
27,2.3500000000
28,2.4000000000
29,2.4500000000
30,2.5000000000
31,2.5500000000
32,2.6000000000
33,2.6500000000
34,2.7000000000
35,2.7500000000
36,2.8000000000
37,2.8500000000
38,2.9000000000
39,2.9500000000
40,3.0000000000
41,3.0500000000
42,3.1000000000
43,3.1500000000
44,3.2000000000
45,3.2500000000
46,3.3000000000
47,3.3500000000
48,3.4000000000
49,3.4500000000
50,3.5000000000
51,3.5500000000
52,3.6000000000
53,3.6500000000
54,3.7000000000
55,3.7500000000
56,3.8000000000
57,3.8500000000
58,3.9000000000
59,3.9500000000
60,4.0000000000
61,4.0500000000
62,4.1000000000
63,4.1500000000
64,4.2000000000
65,4.2500000000
66,4.3000000000
67,4.3500000000
68,4.4000000000
69,4.4500000000
70,4.5000000000
71,4.5500000000
72,4.6000000000
73,4.6500000000
74,4.7000000000
75,4.7500000000
76,4.8000000000
77,4.8500000000
78,4.9000000000
79,4.9500000000
80,5.0000000000
81,5.0500000000
82,5.1000000000
83,5.1500000000
84,5.2000000000
85,5.2500000000
86,5.3000000000
87,5.3500000000
88,5.4000000000
89,5.4500000000
90,5.5000000000
91,5.5500000000
92,5.6000000000
93,5.6500000000
94,5.7000000000
95,5.7500000000
96,5.8000000000
97,5.8500000000
98,5.9000000000
99,5.9500000000
100,6.0000000000
101,6.0500000000
102,6.1000000000
103,6.1500000000
104,6.2000000000
105,6.2500000000
106,6.3000000000
107,6.3500000000
108,6.4000000000
109,6.4500000000
110,6.5000000000
111,6.5500000000
112,6.6000000000
113,6.6500000000
114,6.7000000000
115,6.7500000000
116,6.8000000000
117,6.8500000000
118,6.9000000000
119,6.9500000000
