panel,alpha,rho,sigma
P000,0.045070086417,0.638867533700,0.134026132487
P001,-0.182302979273,0.620475945870,0.131011430320
P002,0.079711348074,0.766457375550,0.062299502929
P003,-0.023102061506,0.855466712556,0.066909185463
P004,0.188039882945,0.640916353425,0.196488153303
P005,0.001824191592,0.566256679545,0.101248540912
P006,-0.087666355622,0.595916895710,0.174511640529
P007,0.000139441627,0.593050626813,0.196449165334
P008,-0.068042400440,0.744800317537,0.193726604911
P009,0.150613979205,0.758425828769,0.167926077194
P010,-0.003146815060,0.786300365368,0.098664294740
P011,-0.114328956020,0.775641213292,0.097183566128
P012,-0.087620898811,0.830823700057,0.143402132998
P013,-0.114838823895,0.664492419908,0.125517769879
P014,0.074746385996,0.825297759040,0.135030455709
P015,-0.035784130224,0.724639540304,0.175961262399
P016,0.056348011803,0.855814715736,0.168276587402
P017,0.092271734996,0.593400830450,0.190748209851
P018,-0.042562322883,0.574314506925,0.168688814876
P019,0.118932576585,0.733752537794,0.131273401019
P020,-0.146489507078,0.585499932365,0.062103917881
P021,-0.101611317897,0.742918213523,0.184681612774
P022,0.174084905924,0.683482797955,0.103646861877
P023,-0.193906858311,0.703291950446,0.136711828294
P024,0.055491186501,0.672572230866,0.127855210596
P025,0.048266634711,0.881330681032,0.113768517895
P026,0.035729461450,0.575504019961,0.184647925829
P027,0.085077273491,0.746849330927,0.151870996853
P028,0.091494267034,0.826390905976,0.151922471138
P029,0.091510103701,0.816830969191,0.164940059768
P030,0.159103951079,0.844152540988,0.120431223174
P031,0.108021408738,0.820687564578,0.064195002999
P032,-0.197885639146,0.614010154478,0.101898401959
P033,0.152135311967,0.876356140286,0.129247866720
P034,0.045964453133,0.572091151741,0.079539932603
P035,-0.187660389817,0.843224659887,0.189650962966
P036,-0.075026101474,0.719918732467,0.184930239136
P037,-0.187410739023,0.809915206973,0.136170417353
P038,0.053339296429,0.569703483167,0.182490797640
P039,0.015595697308,0.671603083922,0.073232835678
P040,0.036471808582,0.639015074450,0.129812002871
P041,-0.084703978137,0.740779730513,0.195995119242
P042,0.030972738826,0.696664746789,0.128211277558
P043,-0.112799198570,0.871464045811,0.168163357503
P044,-0.053379754694,0.680461932131,0.099371664717
P045,0.152034652681,0.818519087037,0.065245605442
P046,-0.023469149888,0.720786547880,0.061417218626
P047,0.044010469349,0.595369111676,0.186829174150
P048,-0.061311229679,0.583701155310,0.188202215243
P049,0.157804109512,0.778496592853,0.174980678138
P050,-0.026635889946,0.833376873819,0.064986045706
P051,0.146170251365,0.807824791498,0.177325899918
P052,-0.055929763488,0.790834641231,0.083721816415
P053,-0.190017808242,0.639612635794,0.058562696977
P054,0.007668915969,0.700532281611,0.164494099965
P055,0.111139916204,0.876163916798,0.156926402017
P056,0.040636932670,0.864057823364,0.125628254536
P057,-0.049264793822,0.760228547882,0.100885758421
P058,0.087102812075,0.863584631319,0.136770142443
P059,0.036757386749,0.680211908745,0.154219623087
P060,-0.044228913092,0.735839326314,0.059278784360
P061,0.130057841279,0.667532322746,0.184791588765
P062,0.065964103533,0.640571283878,0.185174796548
P063,0.046745273574,0.864021939753,0.099233398887
P064,-0.197281380728,0.810968582029,0.190094852881
P065,-0.167705716352,0.725942645697,0.139322707976
P066,0.006169912551,0.727197399130,0.065501763222
P067,0.139511413031,0.726919048961,0.192758504573
P068,-0.139930776722,0.751993116472,0.179894782713
P069,-0.155554155162,0.653715894097,0.110128106806
P070,0.052175962556,0.873778821839,0.136695458617
P071,-0.193371515867,0.666188341502,0.168402557075
P072,0.125121589006,0.677439004214,0.126136778246
P073,0.151606345723,0.713746626202,0.097409046813
P074,-0.078468076714,0.566353859502,0.121326703421
P075,0.160322677920,0.571806884968,0.104653102349
P076,-0.124185746235,0.668581279245,0.190839171233
P077,0.065252369914,0.558161127829,0.191226938813
P078,-0.161240990671,0.799144472253,0.138338299790
P079,-0.187816425057,0.648546813766,0.113833487362
P080,0.074979713091,0.848528824711,0.186876513520
P081,-0.136752852545,0.860917966831,0.069182556898
P082,0.041771859863,0.655515666981,0.143717495129
P083,0.174751186093,0.625139714805,0.154621214027
P084,0.117216606977,0.631974068911,0.119394666928
P085,-0.193007641864,0.799648822859,0.168050970741
P086,0.119640429501,0.834027967889,0.192242657737
P087,-0.072988117647,0.702030355119,0.056243550276
P088,-0.155150354053,0.720489389443,0.107898496882
P089,-0.048576415765,0.877275544985,0.089908928619
P090,0.025111438580,0.769393269838,0.123283232073
P091,-0.113863933252,0.802229104176,0.192692365763
P092,-0.011828598769,0.845190076980,0.198710151472
P093,0.149886932606,0.773174514641,0.054997561522
P094,-0.164522430195,0.821630821747,0.119249579707
P095,-0.161509883920,0.565238944557,0.087929010552
P096,-0.029608860284,0.642463078534,0.054007819250
P097,0.145179222650,0.751204721561,0.119965108595
P098,-0.120616320268,0.693407637031,0.170101844143
P099,-0.166444604592,0.609662957465,0.066761027398
