panel,m,b
P000,0.007912190805,1.494474311248
P001,-0.019768016085,-0.782000819371
P002,0.014146336622,0.247273438569
P003,-0.011959117393,-1.026780706688
P004,-0.007079782449,-1.943527751959
P005,0.002318322353,-1.784992813243
P006,-0.005104141090,-1.111549300681
P007,-0.003450779428,1.706050514246
P008,-0.008957111498,0.386149381501
P009,-0.000873599689,1.406142158952
P010,-0.005163849254,-1.462253189025
P011,-0.002994239345,1.585372977205
P012,-0.008113750945,-1.861704293711
P013,0.018526970682,0.661761899198
P014,0.018747512906,1.747583797909
P015,0.013513402989,-1.652344678910
P016,-0.015341612827,0.719647528777
P017,0.015485147907,1.271517553346
P018,0.017895673654,-0.273673258020
P019,0.000333206093,0.160345880326
P020,-0.010682061540,-1.399107038540
P021,0.014885271893,-0.973644831189
P022,0.013267485942,-1.746185409526
P023,0.002842803154,-0.766346684779
P024,-0.015110004073,-0.032892143885
P025,-0.011456634784,-1.701345601429
P026,0.000905052296,-0.540070999530
P027,0.018109913594,-1.083853698494
P028,0.008005552266,-0.126279911202
P029,0.007625561159,-0.741343134338
P030,-0.013403887749,-1.589290531315
P031,0.003642447504,0.096023003209
P032,0.001206520247,0.406033128494
P033,0.000132096202,-1.782209376469
P034,0.019019656674,-1.367944926010
P035,-0.004471401782,0.870083097068
P036,0.005100519949,1.894938767265
P037,-0.003352547779,-0.859638160217
P038,0.017621280107,0.394647957041
P039,0.009522876580,-1.099749415246
P040,-0.015904336663,-0.328844391470
P041,0.012789195781,-0.180818046199
P042,0.007569490609,0.217748971448
P043,-0.014140393641,1.543326265946
P044,-0.003554556714,1.463386853088
P045,-0.010418855843,-1.732754949289
P046,0.009805429611,-0.633967725346
P047,-0.007976492201,0.897602218943
P048,-0.008918967213,-0.261647453700
P049,0.010372714928,0.220904419970
P050,-0.015713903393,-0.244691553765
P051,0.019910537717,0.403992700135
P052,-0.007984484670,-0.655367895937
P053,-0.005976205479,-0.437602087611
P054,-0.001517297415,1.320512033565
P055,-0.017099572330,0.912056703488
P056,-0.006260563549,1.562225928019
P057,0.010197867526,0.136297138782
P058,-0.000257125841,0.949300935857
P059,-0.007844012903,0.154727725292
P060,0.018275306201,0.620694472114
P061,-0.014988389625,0.078591809901
P062,-0.007717240906,-0.924663333003
P063,-0.019493472900,-1.740542386910
P064,0.001905894366,0.555538982766
P065,-0.012113485963,0.685811731730
P066,-0.006230071863,-1.862532944593
P067,0.019976552981,-0.348331161217
P068,0.009829982274,0.438611075337
P069,0.011701884434,1.823315355362
P070,0.018797742107,1.234579686313
P071,-0.005925320392,0.253396547702
P072,-0.013304856405,1.720651153904
P073,0.003607491109,-1.185285677579
P074,0.017784032117,1.421957858943
P075,-0.019960257577,-1.524553219125
P076,0.009782331530,-1.887506351858
P077,-0.000566985020,-0.326253051541
P078,-0.005507302109,-0.009159670387
P079,-0.014771931290,1.418700729931
P080,0.001952345669,-1.803980679681
P081,0.017138535245,-1.287364751193
P082,0.003188222760,1.118791785267
P083,0.005869405238,1.140119185158
P084,0.005235632078,-1.888135818010
P085,0.006003044340,-0.632675137392
P086,-0.001889613513,1.602624161739
P087,0.006157050025,0.139325420049
P088,0.010679502154,1.837753449274
P089,0.002263091070,1.043360922455
P090,-0.014574009064,1.407686704853
P091,0.008669429147,-0.429776291385
P092,0.014018965464,0.439375978219
P093,0.009981906969,-0.788993946049
P094,0.007984546903,0.870665249224
P095,0.015582937779,0.487968558480
P096,-0.011331139730,0.889002039547
P097,0.004459885171,0.522878458034
P098,0.018847007458,-1.013187382611
P099,0.009258199294,-1.914964677694
