panel,date,value
P000,2000-01,-0.355435295077
P000,2000-02,-0.302122654476
P000,2000-03,-0.246953940416
P000,2000-04,-0.190268078773
P000,2000-05,-0.132413315938
P000,2000-06,-0.073745079377
P000,2000-07,-0.014623794087
P000,2000-08,0.044587331656
P000,2000-09,0.103524537645
P000,2000-10,0.161825746487
P000,2000-11,0.219132787997
P000,2000-12,0.275093599603
P000,2001-01,0.329364389221
P000,2001-02,0.381611747322
P000,2001-03,0.431514695211
P000,2001-04,0.478766656948
P000,2001-05,0.523077342776
P000,2001-06,0.564174532499
P000,2001-07,0.601805747854
P000,2001-08,0.635739803595
P000,2001-09,0.665768227769
P000,2001-10,0.691706542447
P000,2001-11,0.713395397059
P000,2001-12,0.730701547351
P000,2002-01,0.743518673967
P000,2002-02,0.751768035614
P000,2002-03,0.755398952805
P000,2002-04,0.754389119204
P000,2002-05,0.748744738668
P000,2002-06,0.738500487130
P000,2002-07,0.723719299569
P000,2002-08,0.704491983378
P000,2002-09,0.680936660486
P000,2002-10,0.653198041689
P000,2002-11,0.621446537624
P000,2002-12,0.585877211864
P000,2003-01,0.546708582551
P000,2003-02,0.504181279947
P000,2003-03,0.458556568132
P000,2003-04,0.410114739947
P000,2003-05,0.359153395026
P000,2003-06,0.305985611513
P000,2003-07,0.250938022682
P000,2003-08,0.194348810284
P000,2003-09,0.136565626951
P000,2003-10,0.077943460403
P000,2003-11,0.018842452610
P000,2003-12,-0.040374312727
P000,2004-01,-0.099343040754
P000,2004-02,-0.157701460423
P000,2004-03,-0.215091050078
P000,2004-04,-0.271159240019
P000,2004-05,-0.325561578488
P000,2004-06,-0.377963847791
P000,2004-07,-0.428044117548
P000,2004-08,-0.475494722451
P000,2004-09,-0.520024152389
P000,2004-10,-0.561358843325
P000,2004-11,-0.599244857920
P000,2004-12,-0.633449445585
P000,2005-01,-0.663762472366
P000,2005-02,-0.689997711897
P000,2005-03,-0.711993989466
P000,2005-04,-0.729616172184
P000,2005-05,-0.742755999166
P000,2005-06,-0.751332746629
P000,2005-07,-0.755293723809
P000,2005-08,-0.754614596666
P000,2005-09,-0.749299537380
P000,2005-10,-0.739381198716
P000,2005-11,-0.724920513429
P000,2005-12,-0.706006319921
P000,2006-01,-0.682754816471
P000,2006-02,-0.655308847378
P000,2006-03,-0.623837025403
P000,2006-04,-0.588532695904
P000,2006-05,-0.549612749037
P000,2006-06,-0.507316287296
P000,2006-07,-0.461903156604
P000,2006-08,-0.413652349964
P000,2006-09,-0.362860293481
P000,2006-10,-0.309839025285
P000,2006-11,-0.254914278540
P000,2006-12,-0.198423480327
P000,2007-01,-0.140713678671
P000,2007-02,-0.082139410481
P000,2007-03,-0.023060523462
P000,2007-04,0.036160034579
P000,2007-05,0.095158445491
P000,2007-06,0.153572255869
P000,2007-07,0.211042603769
P000,2007-08,0.267216423356
P000,2007-09,0.321748613941
P000,2007-10,0.374304160094
P000,2007-11,0.424560189785
P000,2007-12,0.472207957935
P000,2008-01,0.516954743173
P000,2008-02,0.558525646150
P000,2008-03,0.596665278374
P000,2008-04,0.631139331168
P000,2008-05,0.661736015136
P000,2008-06,0.688267361280
P000,2008-07,0.710570375772
P000,2008-08,0.728508041303
P000,2008-09,0.741970158840
P000,2008-10,0.750874024622
P000,2008-11,0.755164938253
P000,2008-12,0.754816538749
P000,2009-01,0.749830966481
P000,2009-02,0.740238850032
P000,2009-03,0.726099118027
P000,2009-04,0.707498637110
P000,2009-05,0.684551678285
P000,2009-06,0.657399214898
P000,2009-07,0.626208056573
P000,2009-08,0.591169824429
P000,2009-09,0.552499773867
P000,2009-10,0.510435472156
P000,2009-11,0.465235338959
P000,2009-12,0.417177058740
P000,2010-01,0.366555874829
P000,2010-02,0.313682775608
P000,2010-03,0.258882583977
P000,2010-04,0.202491961817
P000,2010-05,0.144857341728
