t,value
0,0.0000000000
1,0.3090169944
2,0.5877852523
3,0.8090169944
4,0.9510565163
5,1.0000000000
6,0.9510565163
7,0.8090169944
8,0.5877852523
9,0.3090169944
10,0.0000000000
11,-0.3090169944
12,-0.5877852523
13,-0.8090169944
14,-0.9510565163
15,-1.0000000000
16,-0.9510565163
17,-0.8090169944
18,-0.5877852523
19,-0.3090169944
20,-0.0000000000
21,0.3090169944
22,0.5877852523
23,0.8090169944
24,0.9510565163
25,1.0000000000
26,0.9510565163
27,0.8090169944
28,0.5877852523
29,0.3090169944
30,0.0000000000
31,-0.3090169944
32,-0.5877852523
33,-0.8090169944
34,-0.9510565163
35,-1.0000000000
36,-0.9510565163
37,-0.8090169944
38,-0.5877852523
39,-0.3090169944
40,-0.0000000000
41,0.3090169944
42,0.5877852523
43,0.8090169944
44,0.9510565163
45,1.0000000000
46,0.9510565163
47,0.8090169944
48,0.5877852523
49,0.3090169944
50,0.0000000000
51,-0.3090169944
52,-0.5877852523
53,-0.8090169944
54,-0.9510565163
55,-1.0000000000
56,-0.9510565163
57,-0.8090169944
58,-0.5877852523
59,-0.3090169944
60,-0.0000000000
61,0.3090169944
62,0.5877852523
63,0.8090169944
64,0.9510565163
65,1.0000000000
66,0.9510565163
67,0.8090169944
68,0.5877852523
69,0.3090169944
70,0.0000000000
71,-0.3090169944
72,-0.5877852523
73,-0.8090169944
74,-0.9510565163
75,-1.0000000000
76,-0.9510565163
77,-0.8090169944
78,-0.5877852523
79,-0.3090169944
80,-0.0000000000
81,0.3090169944
82,0.5877852523
83,0.8090169944
84,0.9510565163
85,1.0000000000
86,0.9510565163
87,0.8090169944
88,0.5877852523
89,0.3090169944
90,0.0000000000
91,-0.3090169944
92,-0.5877852523
93,-0.8090169944
94,-0.9510565163
95,-1.0000000000
96,-0.9510565163
97,-0.8090169944
98,-0.5877852523
99,-0.3090169944
100,-0.0000000000
101,0.3090169944
102,0.5877852523
103,0.8090169944
104,0.9510565163
105,1.0000000000
106,0.9510565163
107,0.8090169944
108,0.5877852523
109,0.3090169944
110,-0.0000000000
111,-0.3090169944
112,-0.5877852523
113,-0.8090169944
114,-0.9510565163
115,-1.0000000000
116,-0.9510565163
117,-0.8090169944
118,-0.5877852523
119,-0.3090169944
120,-0.0000000000
121,0.3090169944
122,0.5877852523
123,0.8090169944
124,0.9510565163
125,1.0000000000
126,0.9510565163
127,0.8090169944
128,0.5877852523
129,0.3090169944
130,0.0000000000
131,-0.3090169944
132,-0.5877852523
133,-0.8090169944
134,-0.9510565163
135,-1.0000000000
136,-0.9510565163
137,-0.8090169944
138,-0.5877852523
139,-0.3090169944
140,-0.0000000000
141,0.3090169944
142,0.5877852523
143,0.8090169944
144,0.9510565163
145,1.0000000000
146,0.9510565163
147,0.8090169944
148,0.5877852523
149,0.3090169944
150,0.0000000000
151,-0.3090169944
152,-0.5877852523
153,-0.8090169944
154,-0.9510565163
155,-1.0000000000
156,-0.9510565163
157,-0.8090169944
158,-0.5877852523
159,-0.3090169944
