t,value
0,0.0000000000
1,0.1759337681
2,0.3450524823
3,0.5008389392
4,0.6373586191
5,0.7495190528
6,0.8332923872
7,0.8858914215
8,0.9058914215
9,0.8932923872
10,0.8495190528
11,0.7773586191
12,0.6808389392
13,0.5650524823
14,0.4359337681
15,0.3000000000
16,0.1640662319
17,0.0349475177
18,-0.0808389392
19,-0.1773586191
20,-0.2495190528
21,-0.2932923872
22,-0.3058914215
23,-0.2858914215
24,-0.2332923872
25,-0.1495190528
26,-0.0373586191
27,0.0991610608
28,0.2549475177
29,0.4240662319
30,0.6000000000
31,0.7759337681
32,0.9450524823
33,1.1008389392
34,1.2373586191
35,1.3495190528
36,1.4332923872
37,1.4858914215
38,1.5058914215
39,1.4932923872
40,1.4495190528
41,1.3773586191
42,1.2808389392
43,1.1650524823
44,1.0359337681
45,0.9000000000
46,0.7640662319
47,0.6349475177
48,0.5191610608
49,0.4226413809
50,0.3504809472
51,0.3067076128
52,0.2941085785
53,0.3141085785
54,0.3667076128
55,0.4504809472
56,0.5626413809
57,0.6991610608
58,0.8549475177
59,1.0240662319
60,1.2000000000
61,1.3759337681
62,1.5450524823
63,1.7008389392
64,1.8373586191
65,1.9495190528
66,2.0332923872
67,2.0858914215
68,2.1058914215
69,2.0932923872
70,2.0495190528
71,1.9773586191
72,1.8808389392
73,1.7650524823
74,1.6359337681
75,1.5000000000
76,1.3640662319
77,1.2349475177
78,1.1191610608
79,1.0226413809
80,0.9504809472
81,0.9067076128
82,0.8941085785
83,0.9141085785
84,0.9667076128
85,1.0504809472
86,1.1626413809
87,1.2991610608
88,1.4549475177
89,1.6240662319
90,1.8000000000
91,1.9759337681
92,2.1450524823
93,2.3008389392
94,2.4373586191
95,2.5495190528
96,2.6332923872
97,2.6858914215
98,2.7058914215
99,2.6932923872
100,2.6495190528
101,2.5773586191
102,2.4808389392
103,2.3650524823
104,2.2359337681
105,2.1000000000
106,1.9640662319
107,1.8349475177
108,1.7191610608
109,1.6226413809
110,1.5504809472
111,1.5067076128
112,1.4941085785
113,1.5141085785
114,1.5667076128
115,1.6504809472
116,1.7626413809
117,1.8991610608
118,2.0549475177
119,2.2240662319
120,2.4000000000
121,2.5759337681
122,2.7450524823
123,2.9008389392
124,3.0373586191
125,3.1495190528
126,3.2332923872
127,3.2858914215
128,3.3058914215
129,3.2932923872
130,3.2495190528
131,3.1773586191
132,3.0808389392
133,2.9650524823
134,2.8359337681
135,2.7000000000
136,2.5640662319
137,2.4349475177
138,2.3191610608
139,2.2226413809
140,2.1504809472
141,2.1067076128
142,2.0941085785
143,2.1141085785
144,2.1667076128
145,2.2504809472
146,2.3626413809
147,2.4991610608
148,2.6549475177
149,2.8240662319
150,3.0000000000
151,3.1759337681
152,3.3450524823
153,3.5008389392
154,3.6373586191
155,3.7495190528
156,3.8332923872
157,3.8858914215
158,3.9058914215
159,3.8932923872
160,3.8495190528
161,3.7773586191
162,3.6808389392
163,3.5650524823
164,3.4359337681
165,3.3000000000
166,3.1640662319
167,3.0349475177
168,2.9191610608
169,2.8226413809
170,2.7504809472
171,2.7067076128
172,2.6941085785
173,2.7141085785
174,2.7667076128
175,2.8504809472
176,2.9626413809
177,3.0991610608
178,3.2549475177
179,3.4240662319
